Demand,Supply
12,12
14,10
14,10
14,10
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
14,10
14,10
16,8
16,8
18,6
18,6
22,2
22,2
20,4
22,2
24,0
24,0
24,0
22,2
22,2
20,4
24,0
24,0
24,0
24,0
20,4
24,0
24,0
22,2
20,4
20,4
18,6
20,4
20,4
20,4
10,14
4,20
2,22
4,20
8,16
10,14
8,16
8,16
4,20
2,22
2,22
2,22
2,22
0,24
2,22
2,22
2,22
0,24
2,22
2,22
6,18
14,10
14,10
12,12
14,10
12,12
20,4
12,12
12,12
12,12
12,12
6,18
6,18
10,14
12,12
16,8
18,6
10,14
8,16
4,20
4,20
14,10
14,10
18,6
18,6
18,6
16,8
14,10
22,2
20,4
20,4
22,2
18,6
18,6
12,12
12,12
14,10
6,18
4,20
4,20
4,20
4,20
24,0
24,0
4,20
4,20
10,14
10,14
6,18
10,14
18,6
14,10
14,10
12,12
16,8
14,10
16,8
10,14
18,6
18,6
18,6
16,8
16,8
10,14
12,12
12,12
10,14
14,10
12,12
20,4
20,4
22,2
22,2
20,4
20,4
22,2
20,4
20,4
22,2
16,8
10,14
10,14
12,12
16,8
12,12
12,12
10,14
6,18
4,20
4,20
4,20
4,20
4,20
4,20
6,18
6,18
18,6
18,6
22,2
20,4
18,6
16,8
10,14
12,12
14,10
18,6
22,2
18,6
14,10
14,10
14,10
10,14
10,14
12,12
10,14
10,14
20,4
20,4
18,6
20,4
20,4
20,4
18,6
24,0
24,0
18,6
10,14
18,6
16,8
14,10
12,12
16,8
16,8
10,14
24,0
24,0
6,18
6,18
6,18
6,18
6,18
4,20
6,18
6,18
12,12
14,10
12,12
10,14
16,8
24,0
24,0
22,2
10,14
16,8
16,8
22,2
14,10
18,6
18,6
12,12
12,12
14,10
10,14
14,10
18,6
20,4
22,2
18,6
20,4
22,2
24,0
24,0
22,2
22,2
20,4
12,12
12,12
10,14
8,16
8,16
8,16
8,16
8,16
10,14
8,16
4,20
6,18
24,0
24,0
24,0
24,0
8,16
10,14
16,8
14,10
10,14
10,14
10,14
12,12
18,6
22,2
16,8
22,2
22,2
18,6
18,6
14,10
14,10
14,10
22,2
18,6
18,6
20,4
18,6
24,0
24,0
12,12
12,12
18,6
20,4
18,6
18,6
16,8
16,8
14,10
16,8
16,8
10,14
10,14
12,12
12,12
10,14
8,16
8,16
6,18
6,18
6,18
8,16
8,16
10,14
10,14
8,16
10,14
10,14
14,10
10,14
10,14
12,12
12,12
18,6
20,4
20,4
22,2
20,4
22,2
22,2
22,2
24,0
24,0
18,6
18,6
18,6
18,6
20,4
22,2
24,0
24,0
24,0
18,6
14,10
10,14
10,14
24,0
24,0
