Demand,Supply
12,10
12,10
10,12
10,12
8,14
8,14
6,16
6,16
6,16
6,16
6,16
6,16
8,14
8,14
10,12
16,6
20,2
20,2
16,6
10,12
12,10
8,14
8,14
8,14
10,12
12,10
20,2
14,8
12,10
10,12
12,10
14,8
8,14
8,14
12,10
16,6
16,6
20,2
14,8
20,2
18,4
22,0
22,0
18,4
8,14
8,14
14,8
18,4
18,4
18,4
16,6
14,8
8,14
6,16
6,16
4,18
4,18
4,18
4,18
4,18
4,18
4,18
12,10
10,12
16,6
16,6
14,8
8,14
6,16
4,18
6,16
8,14
10,12
10,12
12,10
8,14
10,12
8,14
8,14
6,16
8,14
8,14
8,14
18,4
14,8
14,8
12,10
18,4
18,4
14,8
18,4
14,8
14,8
12,10
12,10
12,10
12,10
12,10
10,12
8,14
6,16
6,16
6,16
4,18
4,18
2,20
2,20
2,20
2,20
4,18
6,16
8,14
8,14
8,14
10,12
10,12
2,20
2,20
10,12
16,6
16,6
16,6
10,12
12,10
12,10
6,16
4,18
2,20
2,20
6,16
6,16
6,16
8,14
22,0
22,0
20,2
20,2
18,4
14,8
10,12
14,8
10,12
12,10
12,10
8,14
8,14
8,14
6,16
6,16
8,14
6,16
6,16
0,22
0,22
0,22
0,22
0,22
2,20
6,16
6,16
14,8
20,2
18,4
10,12
4,18
8,14
2,20
0,22
8,14
10,12
10,12
8,14
4,18
2,20
4,18
8,14
10,12
2,20
4,18
4,18
10,12
22,0
22,0
14,8
14,8
20,2
20,2
18,4
16,6
14,8
14,8
16,6
4,18
4,18
2,20
2,20
2,20
2,20
2,20
0,22
0,22
0,22
0,22
0,22
0,22
2,20
0,22
2,20
8,14
8,14
10,12
10,12
4,18
4,18
4,18
4,18
4,18
10,12
12,10
10,12
14,8
10,12
10,12
6,16
6,16
18,4
20,2
10,12
12,10
8,14
8,14
8,14
8,14
18,4
16,6
16,6
18,4
14,8
10,12
8,14
10,12
12,10
12,10
8,14
8,14
4,18
6,16
2,20
2,20
2,20
0,22
0,22
0,22
4,18
4,18
4,18
6,16
6,16
6,16
10,12
12,10
12,10
6,16
8,14
14,8
12,10
18,4
16,6
18,4
16,6
18,4
12,10
14,8
18,4
14,8
14,8
20,2
18,4
12,10
10,12
14,8
14,8
12,10
16,6
14,8
16,6
10,12
12,10
16,6
16,6
14,8
14,8
12,10
14,8
8,14
8,14
4,18
4,18
4,18
4,18
4,18
8,14
6,16
6,16
8,14
6,16
4,18
6,16
6,16
6,16
6,16
6,16
14,8
16,6
18,4
14,8
8,14
12,10
18,4
18,4
16,6
14,8
16,6
16,6
16,6
18,4
14,8
14,8
12,10
22,0
22,0
20,2
16,6
16,6
12,10
20,2
