Demand,Supply
0,14
0,14
0,14
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
2,14
6,14
0,14
2,6
0,6
0,6
0,8
0,8
0,8
2,8
0,6
0,6
0,6
0,6
2,4
0,4
0,6
0,6
0,6
0,6
0,10
2,10
4,6
0,6
2,4
0,4
0,4
0,10
0,10
6,10
0,6
4,2
0,2
0,2
0,6
0,0
0,0
0,6
0,6
0,6
0,10
0,10
0,12
0,12
0,12
0,12
0,14
0,14
0,14
2,12
2,14
0,12
4,8
2,6
0,8
0,10
0,12
2,10
0,12
0,12
2,10
0,12
2,10
0,10
0,10
0,10
0,10
4,6
6,2
0,2
0,2
0,4
0,4
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,12
0,12
0,12
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,0
0,0
0,16
0,16
0,16
2,14
2,12
6,6
0,6
2,6
2,2
0,4
0,6
2,6
0,6
0,8
0,8
0,10
0,10
2,8
4,4
2,4
0,2
0,2
0,2
0,4
4,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,4
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
2,4
0,6
4,2
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,2
0,4
0,8
0,8
0,10
0,10
0,10
0,12
0,12
0,12
2,10
0,10
0,0
0,0
0,10
0,10
0,12
0,12
0,12
0,12
2,12
0,10
2,8
0,12
2,10
2,8
4,6
0,8
4,12
2,6
0,6
0,8
0,8
2,6
0,8
0,8
0,8
2,10
0,10
2,6
0,8
0,12
0,12
2,10
2,8
0,8
2,6
0,6
0,6
0,6
2,4
0,4
0,4
0,4
0,6
0,6
0,6
0,6
0,8
0,8
0,8
2,6
0,6
0,6
0,6
0,0
0,0
0,0
0,0
2,4
0,4
0,4
0,8
0,8
0,8
4,4
0,4
2,4
0,4
0,6
0,6
0,6
0,6
4,2
0,6
0,6
0,6
0,8
0,8
0,8
2,6
0,6
0,0
0,0
2,4
0,4
0,8
0,8
0,10
0,12
0,12
0,12
2,10
0,12
0,12
0,12
2,12
0,10
0,10
0,10
0,10
0,12
0,14
0,14
0,14
0,14
0,14
2,12
2,12
0,10
0,10
0,10
0,10
2,10
0,10
4,6
0,6
2,4
0,6
2,4
0,4
0,4
0,4
0,4
0,6
2,4
0,4
0,4
0,4
0,8
2,6
0,6
4,4
2,0
0,0
0,0
0,2
0,0
2,0
0,0
0,4
0,0
